points,labels
[-24.04038987  -4.95765145   0.        ],wg
[-23.85921723  -4.7732441    0.        ],wg
[-23.67841515  -4.58847388   0.        ],wg
[-23.49798084  -4.40334368   0.        ],wg
[-23.31791148  -4.21785638   0.        ],wg
[-23.13820427  -4.03201488   0.        ],wg
[-22.95885639  -3.84582204   0.        ],wg
[-22.77986504  -3.65928076   0.        ],wg
[-22.6012274   -3.47239392   0.        ],wg
[-22.42294068  -3.28516441   0.        ],wg
[-22.24500205  -3.09759511   0.        ],wg
[-22.06740872  -2.9096889    0.        ],wg
[-21.89015786  -2.72144866   0.        ],wg
[-21.71324668  -2.53287729   0.        ],wg
[-21.53667236  -2.34397767   0.        ],wg
[-21.3604321   -2.15475267   0.        ],wg
[-21.18452307  -1.96520519   0.        ],wg
[-21.00894249  -1.7753381    0.        ],wg
[-20.83368753  -1.5851543    0.        ],wg
[-20.65875539  -1.39465666   0.        ],wg
[-20.48414326  -1.20384808   0.        ],wg
[-20.30984832  -1.01273143   0.        ],wg
[-20.13586778  -0.8213096    0.        ],wg
[-19.96219881  -0.62958547   0.        ],wg
[-19.78883862  -0.43756193   0.        ],wg
[-19.61578439  -0.24524186   0.        ],wg
[-19.44303332  -0.05262814   0.        ],wg
[-19.27058259   0.14027634   0.        ],wg
[-19.09842939   0.33346869   0.        ],wg
[-18.92657092   0.52694603   0.        ],wg
[-18.75500437   0.72070548   0.        ],wg
[-18.58372693   0.91474416   0.        ],wg
[-18.41273578   1.10905918   0.        ],wg
[-18.24202813   1.30364765   0.        ],wg
[-18.07160116   1.49850669   0.        ],wg
[-17.90145205   1.69363342   0.        ],wg
[-17.73157801   1.88902495   0.        ],wg
[-17.56197623   2.08467841   0.        ],wg
[-17.39264388   2.28059089   0.        ],wg
[-17.22357818   2.47675953   0.        ],wg
[-17.0547763    2.67318144   0.        ],wg
[-16.88623543   2.86985372   0.        ],wg
[-16.71795278   3.06677351   0.        ],wg
[-16.54992552   3.26393791   0.        ],wg
[-16.38215085   3.46134404   0.        ],wg
[-16.21462597   3.65898901   0.        ],wg
[-16.04734805   3.85686995   0.        ],wg
[-15.8803143    4.05498396   0.        ],wg
[-15.7135219    4.25332817   0.        ],wg
[-15.54696804   4.45189969   0.        ],wg
[-15.38064992   4.65069563   0.        ],wg
[-15.21456473   4.84971311   0.        ],wg
[-15.04870965   5.04894925   0.        ],wg
[-14.88308188   5.24840117   0.        ],wg
[-14.71767861   5.44806597   0.        ],wg
[-14.55249702   5.64794077   0.        ],wg
[-14.38753432   5.8480227    0.        ],wg
[-14.22278769   6.04830886   0.        ],wg
[-14.05825432   6.24879637   0.        ],wg
[-13.89393141   6.44948235   0.        ],wg
[-13.72981614   6.65036392   0.        ],wg
[-13.5659057    6.85143818   0.        ],wg
[-13.40219729   7.05270226   0.        ],wg
[-13.2386881    7.25415328   0.        ],wg
[-13.07537531   7.45578833   0.        ],wg
[-12.91225612   7.65760456   0.        ],wg
[-12.74932772   7.85959906   0.        ],wg
[-12.5865873    8.06176895   0.        ],wg
[-12.42403205   8.26411136   0.        ],wg
[-12.26165917   8.46662339   0.        ],wg
[-12.09946584   8.66930216   0.        ],wg
[-11.93744925   8.87214479   0.        ],wg
[-11.77560659   9.0751484    0.        ],wg
[-11.61393506   9.27831009   0.        ],wg
[-11.45243185   9.48162699   0.        ],wg
[-11.29109415   9.68509622   0.        ],wg
[-11.12991914   9.88871488   0.        ],wg
[-10.96890402  10.09248009   0.        ],wg
[-10.80804598  10.29638897   0.        ],wg
[-10.64734222  10.50043864   0.        ],wg
[-10.48678991  10.70462621   0.        ],wg
[-10.32638626  10.90894879   0.        ],wg
[-10.16612845  11.11340351   0.        ],wg
[-10.00601368  11.31798747   0.        ],wg
[-9.84603913 11.5226978   0.        ],wg
[-9.68620199 11.72753161  0.        ],wg
[-9.52649947 11.93248601  0.        ],wg
[-9.36692874 12.13755813  0.        ],wg
[-9.207487   12.34274507  0.        ],wg
[-9.04817144 12.54804396  0.        ],wg
[-9.03385349 12.53393936  0.        ],wf
[-9.03385349 12.53393936  1.        ],wf
[-8.76006985 12.46927853  4.22744471],wf
[-8.83691445 11.73965596  7.65073553],wf
[-8.17834602 12.9800713  10.03825177],wf
[-4.54332093 11.80178417  9.        ],wf
[-4.54332093 11.80178417  8.        ],wf
[-4.54332093 11.80178417  8.        ],wg
[-4.39422467 11.74100752  8.        ],wg
[-4.24512841 11.68023087  8.        ],wg
[-4.09603215 11.61945422  8.        ],wg
[-3.94693589 11.55867757  8.        ],wg
[-3.79783963 11.49790092  8.        ],wg
[-3.64874337 11.43712427  8.        ],wg
[-3.49964711 11.37634762  8.        ],wg
[-3.35055085 11.31557097  8.        ],wg
[-3.20145459 11.25479432  8.        ],wg
[-3.05235832 11.19401767  8.        ],wg
[-2.90326206 11.13324102  8.        ],wg
[-2.7541658  11.07246437  8.        ],wg
[-2.60506954 11.01168772  8.        ],wg
[-2.45597328 10.95091107  8.        ],wg
[-2.30687702 10.89013442  8.        ],wg
[-2.15778076 10.82935777  8.        ],wg
[-2.0086845  10.76858112  8.        ],wg
[-1.85958824 10.70780447  8.        ],wg
[-1.71049198 10.64702782  8.        ],wg
[-1.71049198 10.64702782  8.        ],wf
[-1.71049198 10.64702782  9.        ],wf
[ 0.7142907  10.34769672  9.04597167],wf
[4.02130882 9.591913   9.00555882],wf
[4.02130882 9.591913   8.00555882],wf
[4.01074097 9.52905076 8.00280199],wg
[4.18561173 9.30308976 8.04842045],wg
[4.3654236  9.09201081 8.09532789],wg
[4.55001793 8.89528995 8.14348294],wg
[4.73923607 8.71240319 8.19284419],wg
[4.93291936 8.54282658 8.24337027],wg
[5.13090916 8.38603613 8.29501978],wg
[5.3330468  8.24150788 8.34775134],wg
[5.53917365 8.10871786 8.40152356],wg
[5.74913105 7.98714208 8.45629506],wg
[5.96276034 7.87625659 8.51202444],wg
[6.17990288 7.7755374  8.56867032],wg
[6.4004     7.68446055 8.6261913 ],wg
[6.62409307 7.60250206 8.68454602],wg
[6.85082342 7.52913797 8.74369307],wg
[7.08043241 7.46384429 8.80359106],wg
[7.31276138 7.40609706 8.86419862],wg
[7.54765169 7.35537231 8.92547435],wg
[7.78494467 7.31114606 8.98737687],wg
[8.02448169 7.27289434 9.04986479],wg
[8.26610407 7.24009319 9.11289671],wg
[8.50965318 7.21221862 9.17643127],wg
[8.75497037 7.18874666 9.24042705],wg
[9.00189697 7.16915335 9.30484269],wg
[9.25027434 7.15291472 9.36963678],wg
[9.49994382 7.13950678 9.43476795],wg
[9.75074677 7.12840557 9.50019481],wg
[10.00252453  7.11908712  9.56587596],wg
[10.25511845  7.11102745  9.63177003],wg
[10.50836988  7.10370259  9.69783562],wg
[10.76212016  7.09658857  9.76403135],wg
[11.01621065  7.08916142  9.83031582],wg
[11.27048268  7.08089717  9.89664766],wg
[11.52477762  7.07127184  9.96298547],wg
[11.7789368   7.05976146 10.02928786],wg
[12.03280158  7.04584206 10.09551346],wg
[12.28621331  7.02898967 10.16162086],wg
[12.53901332  7.00868032 10.22756869],wg
[12.79104298  6.98439003 10.29331556],wg
[13.04214362  6.95559483 10.35882007],wg
[13.2921566   6.92177075 10.42404085],wg
[13.54092326  6.88239382 10.4889365 ],wg
[13.78828495  6.83694007 10.55346564],wg
[14.03408302  6.78488552 10.61758687],wg
[14.27815882  6.7257062  10.68125882],wg
[14.52035369  6.65887815 10.74444009],wg
[14.76050899  6.58387738 10.8070893 ],wg
[14.99846606  6.50017993 10.86916506],wg
[15.23406625  6.40726182 10.93062598],wg
[15.4671509   6.30459908 10.99143067],wg
